id,artist_names,name,genres,acousticness,danceability,duration_ms,energy,speechiness,tempo,valence,
spotify:track:0GTUqRzwAacEI5Pll8YlBA,"Israel & Rodolffo, Hugo & Guilherme",Amor Não Dá Em Copo - Ao Vivo,"agronejo,arrocha,sertanejo universitario,sertanejo pop,sertanejo",0.403,0.492,169297,0.825,0.157,144.363,0.453,
spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,"pop,dance pop",0.013,0.853,206693,0.56,0.0406,134.066,0.86,
spotify:track:2HafqoJbgXdtjwCOvNEF14,iñigo quintero,Si No Estás,,0.827,0.537,184061,0.421,0.0285,98.224,0.524,
spotify:track:5HJD2A1w3pwpaUZ3ClvYAM,Marília Mendonça,O Que Falta Em Você Sou Eu,"sertanejo universitario,sertanejo,arrocha",0.332,0.6,191657,0.723,0.0469,143.642,0.526,
spotify:track:1dNaW9Zy3lSgwylHwR75Ro,"DJ Maninho, Dj Dudu, Mc Gw",Mega Funk Lost,"funk paulista,funk carioca,funk mtg,funk rj",0.478,0.958,161305,0.558,0.301,124.969,0.666,
spotify:track:2dl61hXmiH5NVvAM8yQzr5,Maiara & Maraisa,Surtos - Ao Vivo,"sertanejo universitario,sertanejo,sertanejo pop",0.673,0.597,173993,0.744,0.0364,148.072,0.488,
spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,singer-songwriter pop,0.701,0.628,172965,0.523,0.0946,169.982,0.416,
spotify:track:4YKujFSyakVjLdH1sDllVc,Simone Mendes,Dois Fugitivos - Ao Vivo,"sertanejo universitario,sertanejo",0.33,0.664,173370,0.839,0.0393,109.984,0.48,
spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,"alt z,pop",0.256,0.75,131872,0.733,0.0319,111.018,0.844,
spotify:track:0sD07uktXbICUL36lzfBxf,Augusto e Rafael,Dona Chica - Ao Vivo,,0.285,0.413,183408,0.871,0.0762,162.997,0.705,
